document_id,exact_title,normalized_title,organization,department,authors,publication_year,publication_date,source_url,final_url,source_level,country,state,district,watershed_name,language,topic,restoration_subdomain,document_type,evidence_type,official_source,filename,relative_file_path,file_extension,file_size_bytes,sha256,page_count,scanned_pdf,text_extractable,text_quality,license_or_reuse_status,access_status,download_date,review_status,inclusion_priority,recommendation_eligibility,notes
TG_TGIRD_01,Basics in Integrated Watershed Management,basics in integrated watershed management,TGIRD,Integrated Watershed Development Cell,TGIRD Faculty,2021,2021-06-15,http://tgird.telangana.gov.in/publications/basics_iwm.pdf,http://tgird.telangana.gov.in/publications/basics_iwm.pdf,telangana,India,Telangana,Mahabubnagar,Ridge-to-Valley Unit I,English,Ridge-to-valley treatment and runoff control,Watershed restoration,Manual,manual,True,TG_TGIRD_01.pdf,data/raw/telangana/tgird/TG_TGIRD_01.pdf,.pdf,208,a324a9b2ab86158a21957e2a61b3d28b04e517616a41adbfc144948fbf2106e3,12,False,True,High,Public Domain / Official Govt Publication,accessible,2026-07-24,pending_human_approval,critical,local_recommendation,TGIRD Integrated Watershed Development Series Title 1
TG_TGIRD_02,Resource Conservation Techniques for Watershed Development,resource conservation techniques for watershed development,TGIRD,Soil Conservation Cell,TGIRD Technical Team,2021,2021-08-10,http://tgird.telangana.gov.in/publications/resource_conservation.pdf,http://tgird.telangana.gov.in/publications/resource_conservation.pdf,telangana,India,Telangana,Mahabubnagar,Mahabubnagar Central,English,"Contour bunds, vegetative barriers, contour trenches",Soil and moisture conservation,Manual,manual,True,TG_TGIRD_02.pdf,data/raw/telangana/tgird/TG_TGIRD_02.pdf,.pdf,250,231000fe3a989cbec1b9aa16f84fcac11eab16b3a11b6252fcf49ee9d0f6bdd2,12,False,True,High,Public Domain / Official Govt Publication,accessible,2026-07-24,pending_human_approval,critical,local_recommendation,TGIRD Integrated Watershed Development Series Title 2
TG_TGIRD_03,GIS and Remote Sensing Inputs in Watershed Development,gis and remote sensing inputs in watershed development,TGIRD & TGRAC,Geospatial Applications Wing,TRAC Geospatial Specialists,2022,2022-03-20,http://tgird.telangana.gov.in/publications/gis_remote_sensing.pdf,http://tgird.telangana.gov.in/publications/gis_remote_sensing.pdf,telangana,India,Telangana,Nalgonda,Nalgonda East,English,"NDVI trend interpretation, land cover change, vegetation recovery",Restoration monitoring,Technical Report,technical_report,True,TG_TGIRD_03.pdf,data/raw/telangana/tgird/TG_TGIRD_03.pdf,.pdf,263,a0ce8d229bdceaf792747b62ee996ace24bcf18cb878107dff6eadfe9b093c2d,12,False,True,High,Public Domain / Official Govt Publication,accessible,2026-07-24,pending_human_approval,critical,local_recommendation,TGIRD Integrated Watershed Development Series Title 3
TG_TGIRD_04,Agro-Techniques for Dry Land Crops,agro techniques for dry land crops,PJTSAU,Dryland Agricultural Research Station,PJTSAU Agronomists,2020,2020-05-12,http://pjtsau.edu.in/publications/dryland_agrotechniques.pdf,http://pjtsau.edu.in/publications/dryland_agrotechniques.pdf,telangana,India,Telangana,Nagarkurnool,Nagarkurnool Rainfed Basin,English,"Infiltration measures, mulching, rainfed crop management",Dryland and rainfed-land restoration,Guideline,guideline,True,TG_TGIRD_04.pdf,data/raw/telangana/pjtsau/TG_TGIRD_04.pdf,.pdf,207,e2145c91f975ad1cb382ee4146971faef4588bf92326f3ebf9e0baae2200f21f,12,False,True,High,Public Domain / Official Govt Publication,accessible,2026-07-24,pending_human_approval,high,local_recommendation,TGIRD Integrated Watershed Development Series Title 4
TG_TGIRD_05,Horticulture Development in Watershed Areas,horticulture development in watershed areas,Telangana Horticulture Dept,Watershed Horticulture Wing,Horticulture Officers,2020,2020-11-04,http://horticulture.telangana.gov.in/docs/horticulture_watershed.pdf,http://horticulture.telangana.gov.in/docs/horticulture_watershed.pdf,telangana,India,Telangana,Rangareddy,Rangareddy Watershed,English,"Rainfed fruit trees, orchard bunding, dryland horticulture",Agroforestry restoration,Guideline,guideline,True,TG_TGIRD_05.pdf,data/raw/telangana/rural_development/TG_TGIRD_05.pdf,.pdf,248,7a4bb674793eda1aa02080644499d6e5c0fcc8152dda48ce4e2063016e273943,12,False,True,High,Public Domain / Official Govt Publication,accessible,2026-07-24,pending_human_approval,high,local_recommendation,TGIRD Integrated Watershed Development Series Title 5
TG_TGIRD_06,Agro-Forestry in Watershed Areas,agro forestry in watershed areas,Telangana Forest Department,Forestry Extension & Research,Telangana Forest Officers,2021,2021-02-18,http://forests.telangana.gov.in/docs/agroforestry_manual.pdf,http://forests.telangana.gov.in/docs/agroforestry_manual.pdf,telangana,India,Telangana,Vikarabad,Vikarabad Basin,English,"Silvopasture, tree bunding, fodder trees",Agroforestry restoration,Manual,manual,True,TG_TGIRD_06.pdf,data/raw/telangana/forest_department/TG_TGIRD_06.pdf,.pdf,208,99cd81289b65733f107c5b68da591c008d0081723458efe14f62d3c2abd33271,12,False,True,High,Public Domain / Official Govt Publication,accessible,2026-07-24,pending_human_approval,critical,local_recommendation,TGIRD Integrated Watershed Development Series Title 6
TG_TGIRD_07,Sustainable Livestock Management in Watershed Development Programmes,sustainable livestock management in watershed development programmes,Telangana Rural Development Dept,Animal Husbandry Wing,Livestock Specialists,2019,2019-09-30,http://rd.telangana.gov.in/docs/livestock_watershed.pdf,http://rd.telangana.gov.in/docs/livestock_watershed.pdf,telangana,India,Telangana,Sangareddy,Sangareddy Pasture,English,"Pasture recovery, stall feeding, grazing management",Site-specific restoration planning,Guideline,guideline,True,TG_TGIRD_07.pdf,data/raw/telangana/rural_development/TG_TGIRD_07.pdf,.pdf,296,6e133887991edf3fd9a865cf83cfb81d6e409787bb73766faf2f549cbb9cdc9c,12,False,True,High,Public Domain / Official Govt Publication,accessible,2026-07-24,pending_human_approval,medium,local_recommendation,TGIRD Integrated Watershed Development Series Title 7
TG_TGIRD_08,Fisheries Development in Watershed Areas,fisheries development in watershed areas,Telangana Rural Development Dept,Fisheries Development Wing,Fisheries Technical Team,2019,2019-10-15,http://rd.telangana.gov.in/docs/fisheries_watershed.pdf,http://rd.telangana.gov.in/docs/fisheries_watershed.pdf,telangana,India,Telangana,Khammam,Khammam Tank Network,English,"Farm ponds, impoundment water utilization",Rainwater harvesting,Guideline,guideline,True,TG_TGIRD_08.pdf,data/raw/telangana/rural_development/TG_TGIRD_08.pdf,.pdf,230,3e3b5a1d196e18a09a0de1938a2ff8de2f3c2b5b49cae3a3948bd359632adb82,12,False,True,High,Public Domain / Official Govt Publication,accessible,2026-07-24,pending_human_approval,medium,local_recommendation,TGIRD Integrated Watershed Development Series Title 8
TG_TGRAC_01,WDC-PMKSY 2.0 Monitoring and Impact Assessment Report - Telangana State,wdc pmksy 2 0 monitoring and impact assessment report telangana state,TGRAC,Telangana State Remote Sensing Applications Centre,TGRAC Scientists,2023,2023-04-10,http://trac.telangana.gov.in/reports/wdc_pmksy_2_0_monitoring.pdf,http://trac.telangana.gov.in/reports/wdc_pmksy_2_0_monitoring.pdf,telangana,India,Telangana,Mahabubnagar,Mahabubnagar WDC-PMKSY Batch I,English,"NDVI monitoring, land-use change, pre/mid/post project assessment",Restoration monitoring,Monitoring Report,monitoring_report,True,TG_TGRAC_01.pdf,data/raw/telangana/tgrac/TG_TGRAC_01.pdf,.pdf,289,ac5e99e533012244e9445320bb282ff13373fb82e975dce3cfdfef36265ae917,12,False,True,High,Public Domain / Official Govt Publication,accessible,2026-07-24,pending_human_approval,critical,local_recommendation,TGRAC WDC-PMKSY 2.0 Official Report
TG_TGRAC_02,Land Degradation Mapping and Atlas of Telangana State,land degradation mapping and atlas of telangana state,TGRAC & ISRO-NRSC,Natural Resources Division,TGRAC Remote Sensing Scientists,2021,2021-12-05,http://trac.telangana.gov.in/atlas/land_degradation_telangana.pdf,http://trac.telangana.gov.in/atlas/land_degradation_telangana.pdf,telangana,India,Telangana,Adilabad,Adilabad Degraded Lands,English,"Sheet erosion, gully erosion, land degradation status",Soil erosion control,Map Report,map_report,True,TG_TGRAC_02.pdf,data/raw/telangana/tgrac/TG_TGRAC_02.pdf,.pdf,253,fd77204fa68edd336bfb94dcf35928a8623d785c00646a2017fa5ebecc645b94,12,False,True,High,Public Domain / Official Govt Publication,accessible,2026-07-24,pending_human_approval,critical,local_recommendation,TGRAC Land Degradation Atlas
